Município;Data da Ocorrência;Número da Ocorrência;Desastre;IDHM;Receita Corrente Líquida;PIB;População;Prefeito;Pessoas Afetadas;Prejuízo Público;Prejuízo Privado;Recebeu Ajuda?;Material;Quantidade;Data da Solicitação;Data do Envio
Ivaiporã;31/01/2024 08:00;50/2024;Doenças infecciosas virais;0,73;R$ 97.831.134,58;R$ 862.916,53;32.720;Luiz Carlos Gil;3.726;R$ 670.386,00;R$ 0,00;Não;-;-;-;-
São João do Ivaí;30/01/2024 09:00;40/2024;Doenças infecciosas virais;0,693;R$ 37.075.441,15;R$ 331.063,06;10.667;CARLA SUZI EMERENCIANO;552;R$ 130.355,48;R$ 0,00;Não;-;-;-;-
Paranavaí;26/01/2024 10:35;37/2024;Doenças infecciosas virais;0,763;R$ 268.327.382,16;R$ 2.747.724,06;91.950;Carlos Henrique Rossato Gomes;766;R$ 22.823,00;R$ 0,00;Não;-;-;-;-
Chopinzinho;23/01/2024 18:20;35/2024;Tempestade Local/Convectiva - Granizo;0,74;R$ 96.262.010,86;R$ 847.239,63;21.079;EDSON LUIZ CENCI;167;R$ 241.800,00;R$ 14.849.524,00;Não;-;-;-;-
Primeiro de Maio;23/01/2024 12:40;42/2024;Estiagem;0,701;R$ 39.851.679,73;R$ 370.683,57;10.082;Bruna de Oliveira Casanova;1.209;R$ 5.402,54;R$ 92.795.971,07;Não;-;-;-;-
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Cesta Básica;150;24/01/2024 17:07;25/01/2024 09:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Kit Higiene;150;24/01/2024 17:07;25/01/2024 09:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Kit Limpeza;150;24/01/2024 17:07;25/01/2024 09:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Colchão Solteiro;150;24/01/2024 17:29;25/01/2024 09:00
Guaratuba;23/01/2024 09:00;26/2024;Tempestade Local/Convectiva - Chuvas Intensas;0,717;R$ 192.576.590,56;R$ 883.636,83;42.062;Roberto Cordeiro Justus;3.744;R$ 20.695.779,66;R$ 0,00;Sim;Kit Dormitório-(1 cobertor solteiro, 1 lençol solteiro, 1 fronha e 1 travesseiro);150;24/01/2024 17:29;25/01/2024 09:00
